term,subject,course_number,crn,title,restrictions
202631,PHEB,617,62849,RES INTEG TRANSPRNCY & REPROD,"Cannot be enrolled in one of the following Colleges: Public Health | Must be enrolled in one of the following Programs: MPH [PH]Non-Thesis DE No Final, MPH [PH] Non-thesis distance, MPH [PH] Master's distance | Must be enrolled in one of the following Levels: Graduate"
202631,PHEB,618,43340,SPATIAL EPIDEMIOLOGY I,"Must be enrolled in one of the following Programs: DRPH [PH], MPH [PH], MPH [PH] 5yr NTO No Final, MPH [PH] Non-Thesis,No Final, MPH [PH] 5yr program NTO | Must be enrolled in one of the following Levels: Graduate"
202631,PHEB,618,46937,SPATIAL EPIDEMIOLOGY I,"Must be enrolled in one of the following Programs: MPH [PH]Non-Thesis DE No Final, MPH [PH] Non-thesis distance, MPH [PH] Master's distance | Must be enrolled in one of the following Levels: Graduate"
202631,PHEB,619,43415,INFECTIOUS DISEASE EPI,"Must be enrolled in one of the following Programs: DRPH [PH], MPH [PH], MPH [PH] 5yr NTO No Final, MPH [PH] Non-Thesis,No Final, MPH [PH] 5yr program NTO | Must be enrolled in one of the following Levels: Graduate"
202631,PHEB,620,57752,CANCER EPIDEMIOLOGY,"Must be enrolled in one of the following Programs: DRPH [PH], MPH [PH], MPH [PH] 5yr NTO No Final, MPH [PH] Non-Thesis,No Final, MPH [PH] 5yr program NTO | Must be enrolled in one of the following Levels: Graduate"
202631,PHEB,620,59331,CANCER EPIDEMIOLOGY,"Must be enrolled in one of the following Programs: MPH [PH]Non-Thesis DE No Final, MPH [PH] Non-thesis distance, MPH [PH] Master's distance | Must be enrolled in one of the following Levels: Graduate"
202631,PHEB,631,49855,SAS PROGRAMMING EPIDEM RES,"Must be enrolled in one of the following Programs: DRPH [PH], MPH [PH], MPH [PH] 5yr NTO No Final, MPH [PH] Non-Thesis,No Final, MPH [PH] 5yr program NTO | Must be enrolled in one of the following Levels: Graduate"
202631,PHEB,631,65721,SAS PROGRAMMING EPIDEM RES,"Must be enrolled in one of the following Programs: MPH [PH]Non-Thesis DE No Final, MPH [PH] Non-thesis distance, MPH [PH] Master's distance | Must be enrolled in one of the following Levels: Graduate"
202631,PHEB,684,22057,PRACTICUM,"Must be enrolled in one of the following Programs: MPH [PH], MPH [PH] 5yr NTO No Final, MPH [PH] Non-Thesis,No Final, MPH [PH] 5yr program NTO | Must be enrolled in one of the following Levels: Graduate"
202631,PHEB,684,22059,PRACTICUM: IN-AB,"Must be enrolled in one of the following Programs: MPH [PH], MPH [PH]Non-Thesis DE No Final, MPH [PH] Non-thesis distance, MPH [PH] 5yr NTO No Final, MPH [PH] Non-Thesis,No Final, MPH [PH] 5yr program NTO, MPH [PH] Master's distance | Must be enrolled in one of the following Levels: Graduate"
202631,PHEB,684,34984,PRACTICUM,Must be enrolled in one of the following Programs: DRPH [PH] | Must be enrolled in one of the following Levels: Graduate
202631,PHEB,684,57753,PRACTICUM: IN-AB,Must be enrolled in one of the following Programs: DRPH [PH] | Must be enrolled in one of the following Levels: Graduate
202631,PHEO,605,22133,CHEMICAL HAZARD EXPOSURE,"Cannot be enrolled in one of the following Colleges: Public Health, Veterinary Med & Biomedical Sc | Must be enrolled in one of the following Levels: Graduate"
202631,PHEO,613,35309,INTRO ENVIRON HLTH DISPARITIES,"Must be enrolled in one of the following Programs: DRPH [PH], MPH [PH], MPH [PH] 5yr NTO No Final, MPH [PH] Non-Thesis,No Final, MPH [PH] 5yr program NTO | Must be enrolled in one of the following Levels: Graduate"
202631,PHEO,618,22134,OCCUPATIONAL SAFETY,Cannot be enrolled in one of the following Colleges: Public Health | Must be enrolled in one of the following Levels: Graduate
202631,PHEO,630,22135,ENVIRON/OCCUPTNL DISEASES,Cannot be enrolled in one of the following Colleges: Public Health | Must be enrolled in one of the following Levels: Graduate
202631,PHEO,640,65800,INDUSTRIAL HYGIENE,"Must be enrolled in one of the following Programs: MPH [PH]Non-Thesis DE No Final, MPH [PH] Non-thesis distance, MPH [PH] Master's distance | Must be enrolled in one of the following Levels: Graduate"
